section,object,property,before,after,delta
mv,crude_oil,temperature_C,32.6,32.6,0.0
mv,crude_oil,pressure_kPa,180.0,180.0,0.0
mv,crude_oil,massflow_kg_h,400000.0,400000.0,0.0
mv,heater_to_flash,D_temperature_C,169.4,169.4,0.0
mv,flash_column,liquid_level,44.5,44.5,0.0
mv,pump,D_pressure_kPa,550.0,550.0,0.0
mv,heater_to_furnace,D_temperature_C,67.85,67.85,0.0
mv,furnace_1,D_temperature_C,115.0,115.0,0.0
mv,furnace_2,D_temperature_C,225.0,225.0,0.0
mv,furnace_3,D_temperature_C,225.0,225.0,0.0
mv,furnace_4,D_temperature_C,225.0,225.0,0.0
mv,Water1,massflow_kg_h,2200.0,2200.0,0.0
mv,Water2,massflow_kg_h,300.0,300.0,0.0
mv,Water3,massflow_kg_h,500.0,500.0,0.0
mv,C-1102,top_massflow_kg_h,320690.0,320690.0,0.0
mv,C-1102,top_temperature_C,105.55555555555556,105.55555555555556,0.0
mv,C-1102,one_massflow_kg_h,170000.0,170000.0,0.0
mv,C-1102,one_temperature_C,150.0,150.0,0.0
mv,C-1102,two_massflow_kg_h,241000.0,241000.0,0.0
mv,C-1102,two_temperature_C,180.0,180.0,0.0
mv,C-1102,boilup_rate,0.5,0.5,0.0
mv,C-1102,39_temperature_C,156.8,156.8,0.0
mv,C-1102,26_temperature_C,215.0,215.0,0.0
mv,C-1102,16_temperature_C,301.0,301.0,0.0
cv,heater_to_flash,heat_load_KJ_h,159045560.1692256,159045560.1692256,0.0
cv,heater_to_furnace,heat_load_KJ_h,74413867.56096981,74413867.56096981,0.0
cv,furnace_1,heat_load_KJ_h,142137920.28323987,142137920.28323987,0.0
cv,furnace_2,heat_load_KJ_h,6354149.4071583785,6354149.4071583785,0.0
cv,furnace_3,heat_load_KJ_h,866474.91915796,866474.91915796,0.0
cv,furnace_4,heat_load_KJ_h,1444124.865263267,1444124.865263267,0.0
cv,Naptha,massflow_kg_h,12369.28252406306,12370.20711702424,0.9245929611806787
cv,Naptha,20%TBP,11.100470676323706,11.10632320913297,0.005852532809264233
cv,Naptha,40%TBP,55.555382052135215,55.58532998574192,0.029947933606706556
cv,Naptha,60%TBP,138.48520690741285,138.491008694708,0.005801787295155236
cv,Naptha,80%TBP,153.92948763543683,153.93300879512682,0.0035211596899955566
cv,Naptha,100%TBP,174.84058133808404,174.85445754364906,0.013876205565026112
cv,Kerosene,massflow_kg_h,9622.957596531694,9620.279964461632,-2.6776320700628276
cv,Kerosene,20%TBP,167.18460602638712,167.1853128948981,0.0007068685109743456
cv,Kerosene,40%TBP,179.94748581092142,179.94754111173089,5.530080946414273e-05
cv,Kerosene,60%TBP,191.79631102902846,191.79459488366945,-0.001716145359011989
cv,Kerosene,80%TBP,201.52851164358637,201.52782723386497,-0.00068440972140138
cv,Kerosene,100%TBP,222.4442023379553,222.4299363338692,-0.014266004086096018
cv,Diesel,massflow_kg_h,25580.06103940799,25584.96627186053,4.905232452540076
cv,Diesel,20%TBP,212.2069441146673,212.2053857540355,-0.0015583606318045895
cv,Diesel,40%TBP,228.0669348217032,228.0670220992831,8.727757989390739e-05
cv,Diesel,60%TBP,241.16772661320488,241.16991483129445,0.002188218089571592
cv,Diesel,80%TBP,255.88135280468842,255.88518440219292,0.0038315975045009054
cv,Diesel,100%TBP,281.88833697145566,281.89094306820976,0.0026060967541070568
cv,AGO,massflow_kg_h,55246.6539679945,55234.268712176636,-12.385255817862344
cv,AGO,20%TBP,281.7323132242287,281.7337371400156,0.001423915786915586
cv,AGO,40%TBP,301.85167672103165,301.8495455437741,-0.0021311772575245413
cv,AGO,60%TBP,321.1204989650205,321.1146979611873,-0.0058010038331985925
cv,AGO,80%TBP,342.56771809143385,342.5569618609918,-0.010756230442041215
cv,AGO,100%TBP,379.6649699105053,379.6579874273826,-0.006982483122726535
cv,Risedue,massflow_kg_h,300181.04487200297,300190.277934477,9.233062474057078
cv,Risedue,20%TBP,398.65841162383566,398.6504915732676,-0.007920050568088755
cv,Risedue,40%TBP,455.0751488857196,455.0698868167465,-0.005262068973138412
cv,Risedue,60%TBP,512.6924168035061,512.6885872140045,-0.0038295895016062786
cv,Risedue,80%TBP,594.0207002901892,594.0172921842648,-0.0034081059244499556
cv,Risedue,100%TBP,714.2938568176816,714.2938568176805,-1.0231815394945443e-12
stage,52__Main Tower,pressure_kPa,150.0,150.0,0.0
stage,52__Main Tower,temperature_C,105.99405265790477,106.00027272847672,0.00622007057194196
stage,52__Main Tower,liquid_kg_h,321580.65804556425,321582.6691089275,2.011063363228459
stage,52__Main Tower,vapor_kg_h,12369.28252406306,12370.20711702424,0.9245929611806787
stage,51__Main Tower,pressure_kPa,150.58823529411765,150.58823529411765,0.0
stage,51__Main Tower,temperature_C,107.36815242295756,107.37468738034426,0.006534957386691076
stage,51__Main Tower,liquid_kg_h,323868.1618114115,323870.18352171354,2.0217103020404465
stage,51__Main Tower,vapor_kg_h,13262.279627273654,13263.384520982185,1.1048937085306534
stage,50__Main Tower,pressure_kPa,151.1764705882353,151.1764705882353,0.0
stage,50__Main Tower,temperature_C,114.14856181362029,114.15445539138426,0.00589357776397037
stage,50__Main Tower,liquid_kg_h,14176.384542049685,14175.862640277957,-0.5219017717281531
stage,50__Main Tower,vapor_kg_h,15549.783393120819,15550.898933768236,1.1155406474172196
stage,49__Main Tower,pressure_kPa,151.76470588235296,151.76470588235296,0.0
stage,49__Main Tower,temperature_C,137.08189688150645,137.08528213206336,0.0033852505569029745
stage,49__Main Tower,liquid_kg_h,16024.705629861592,16023.978171112658,-0.7274587489337137
stage,49__Main Tower,vapor_kg_h,26545.667066112757,26546.069757302193,0.4026911894361547
stage,48__Main Tower,pressure_kPa,152.3529411764706,152.3529411764706,0.0
stage,48__Main Tower,temperature_C,141.2649912286447,141.2683192456052,0.003328016960495006
stage,48__Main Tower,liquid_kg_h,16399.555035497717,16398.783903803964,-0.7711316937529773
stage,48__Main Tower,vapor_kg_h,28393.98815392466,28394.185288136887,0.19713421222695615
stage,47__Main Tower,pressure_kPa,152.94117647058826,152.94117647058826,0.0
stage,47__Main Tower,temperature_C,143.31583448241923,143.31924567819715,0.0034111957779145996
stage,47__Main Tower,liquid_kg_h,16564.7104895744,16563.906690610635,-0.8037989637668943
stage,47__Main Tower,vapor_kg_h,28768.8375595608,28768.99102082819,0.1534612673895026
stage,46__Main Tower,pressure_kPa,153.5294117647059,153.5294117647059,0.0
stage,46__Main Tower,temperature_C,144.88416406238406,144.88760601719946,0.0034419548154005497
stage,46__Main Tower,liquid_kg_h,16672.55139134229,16671.713414024103,-0.8379773181877681
stage,46__Main Tower,vapor_kg_h,28933.99301363748,28934.11380763487,0.12079399739013752
stage,45__Main Tower,pressure_kPa,154.11764705882356,154.11764705882356,0.0
stage,45__Main Tower,temperature_C,146.26808823817333,146.27149288092033,0.0034046427470002527
stage,45__Main Tower,liquid_kg_h,16748.847549342714,16747.974362607805,-0.8731867349088134
stage,45__Main Tower,vapor_kg_h,29041.833915405372,29041.920531048323,0.08661564295107382
stage,44__Main Tower,pressure_kPa,154.70588235294122,154.70588235294122,0.0
stage,44__Main Tower,temperature_C,147.60076269599512,147.60404873013556,0.0032860341404443716
stage,44__Main Tower,liquid_kg_h,16800.338989153148,16799.430380210328,-0.9086089428201376
stage,44__Main Tower,vapor_kg_h,29118.13007340579,29118.181479632036,0.051406226244580466
stage,43__Main Tower,pressure_kPa,155.29411764705887,155.29411764705887,0.0
stage,43__Main Tower,temperature_C,148.9923060391218,148.9953683678612,0.003062328739417808
stage,43__Main Tower,liquid_kg_h,16827.198654275577,16826.25699011653,-0.9416641590469226
stage,43__Main Tower,vapor_kg_h,29169.62151321623,29169.63749723455,0.015984018322342308
stage,42__Main Tower,pressure_kPa,155.88235294117652,155.88235294117652,0.0
stage,42__Main Tower,temperature_C,150.56534840177045,150.56803931123397,0.002690909463524349
stage,42__Main Tower,liquid_kg_h,16826.45798739385,16825.49184179809,-0.9661455957575527
stage,42__Main Tower,vapor_kg_h,29196.481178338658,29196.464107140753,-0.01707119790444267
stage,41__Main Tower,pressure_kPa,156.47058823529417,156.47058823529417,0.0
stage,41__Main Tower,temperature_C,152.46808811545344,152.47018601931887,0.0020979038654331816
stage,41__Main Tower,liquid_kg_h,16796.728440986106,16795.75351549862,-0.9749254874841426
stage,41__Main Tower,vapor_kg_h,29195.74051145693,29195.698958822308,-0.041552634622348705
stage,40__Main Tower,pressure_kPa,157.05882352941182,157.05882352941182,0.0
stage,40__Main Tower,temperature_C,154.85599820623992,154.85718303395038,0.0011848277104604676
stage,40__Main Tower,liquid_kg_h,16706.687849776234,16705.731804914354,-0.9560448618794908
stage,40__Main Tower,vapor_kg_h,29166.010965049183,29165.960632522838,-0.05033252634530072
stage,39__Main Tower,pressure_kPa,157.64705882352948,157.64705882352948,0.0
stage,39__Main Tower,temperature_C,156.7997694737444,156.7999442099932,0.00017473624882313743
stage,39__Main Tower,liquid_kg_h,5647.62777854175,5649.7306779866685,2.102899444918876
stage,39__Main Tower,vapor_kg_h,27805.114362722034,27805.423849190214,0.3094864681806939
stage,38__Main Tower,pressure_kPa,158.23529411764713,158.23529411764713,0.0
stage,38__Main Tower,temperature_C,160.3578963507003,160.35640745851305,-0.0014888921872397987
stage,38__Main Tower,liquid_kg_h,5616.0633570037235,5618.152498798164,2.0891417944403656
stage,38__Main Tower,vapor_kg_h,27639.86789913652,27640.217759472514,0.3498603359948902
stage,37__Main Tower,pressure_kPa,158.82352941176478,158.82352941176478,0.0
stage,37__Main Tower,temperature_C,161.8599840188425,161.8584254068761,-0.001558611966402168
stage,37__Main Tower,liquid_kg_h,5593.063462135789,5595.146393061961,2.0829309261716844
stage,37__Main Tower,vapor_kg_h,27608.303477598492,27608.63958028401,0.33610268551638
stage,36__Main Tower,pressure_kPa,159.41176470588243,159.41176470588243,0.0
stage,36__Main Tower,temperature_C,162.52196543116838,162.52060837065505,-0.0013570605133281788
stage,36__Main Tower,liquid_kg_h,189861.71792898595,189864.3445069297,2.6265779437380843
stage,36__Main Tower,vapor_kg_h,27585.30358273056,27585.633474547816,0.32989181725497474
stage,35__Main Tower,pressure_kPa,160.00000000000009,160.00000000000009,0.0
