stage,pressure_kPa,temperature_C,liquid_kg_h,vapor_kg_h
52__Main Tower,150.0,106.00027272847672,321582.6691089275,12370.20711702424
51__Main Tower,150.58823529411765,107.37468738034426,323870.18352171354,13263.384520982185
50__Main Tower,151.1764705882353,114.15445539138426,14175.862640277957,15550.898933768236
49__Main Tower,151.76470588235296,137.08528213206336,16023.978171112658,26546.069757302193
48__Main Tower,152.3529411764706,141.2683192456052,16398.783903803964,28394.185288136887
47__Main Tower,152.94117647058826,143.31924567819715,16563.906690610635,28768.99102082819
46__Main Tower,153.5294117647059,144.88760601719946,16671.713414024103,28934.11380763487
45__Main Tower,154.11764705882356,146.27149288092033,16747.974362607805,29041.920531048323
44__Main Tower,154.70588235294122,147.60404873013556,16799.430380210328,29118.181479632036
43__Main Tower,155.29411764705887,148.9953683678612,16826.25699011653,29169.63749723455
42__Main Tower,155.88235294117652,150.56803931123397,16825.49184179809,29196.464107140753
41__Main Tower,156.47058823529417,152.47018601931887,16795.75351549862,29195.698958822308
40__Main Tower,157.05882352941182,154.85718303395038,16705.731804914354,29165.960632522838
39__Main Tower,157.64705882352948,156.7999442099932,5649.7306779866685,27805.423849190214
38__Main Tower,158.23529411764713,160.35640745851305,5618.152498798164,27640.217759472514
37__Main Tower,158.82352941176478,161.8584254068761,5595.146393061961,27608.63958028401
36__Main Tower,159.41176470588243,162.52060837065505,189864.3445069297,27585.633474547816
35__Main Tower,160.00000000000009,172.31188904621814,202689.40664725177,41855.16995697758
34__Main Tower,160.58823529411774,180.01985953729144,43059.83330596658,54680.2320972996
33__Main Tower,161.1764705882354,189.48137951527292,45221.20443674415,65050.32038745243
32__Main Tower,161.76470588235304,193.98125330130915,45945.28469910517,67211.69151823003
31__Main Tower,162.3529411764707,197.0558669422337,46186.39718059138,67935.771780591
30__Main Tower,162.94117647058835,199.7038694766564,46159.958262994754,68176.88426207723
29__Main Tower,163.529411764706,202.44422686098653,45919.41900254705,68150.4453444806
28__Main Tower,164.11764705882365,205.6712229033734,45469.99524579076,67909.9060840329
27__Main Tower,164.7058823529413,209.743194768941,44844.82705371894,67460.48232727664
26__Main Tower,165.29411764705895,215.00005499443893,15011.802754202845,62908.88622951004
25__Main Tower,165.8823529411766,221.5676852010975,14747.882744788443,62287.25610754927
24__Main Tower,166.47058823529426,224.27926474107682,343183.80142129224,62023.336098134845
23__Main Tower,167.0588235294119,240.8060934920013,390939.96085744974,149458.03481051893
22__Main Tower,167.64705882352956,250.18578288758522,171421.75897053126,197214.19424667643
21__Main Tower,168.23529411764721,262.6848361552468,183172.34550628293,213505.36761371937
20__Main Tower,168.82352941176487,269.603509445428,186252.9167599065,225255.95414947107
19__Main Tower,169.41176470588252,275.40240069301217,185901.4758231107,228336.5254030945
18__Main Tower,170.00000000000017,281.58008780106195,182305.68075224917,227985.0844662987
17__Main Tower,170.58823529411782,289.4993137089954,175121.34984761797,224389.2893954372
16__Main Tower,171.17647058823547,300.99997591332624,96716.74872844492,200738.4209940421
15__Main Tower,171.76470588235313,316.7822592612001,94182.59531017736,193534.62608380968
14__Main Tower,172.35294117647078,327.3718883247923,93644.46182542956,191000.47266554215
13__Main Tower,172.94117647058843,333.73472916314654,92686.04389636999,190462.33918079434
12__Main Tower,173.52941176470608,337.7400692436589,91064.43719242599,189503.92125173475
11__Main Tower,174.11764705882374,340.603635898956,88841.30257675167,187882.31454779068
10__Main Tower,174.7058823529414,343.0123031560588,85787.1402272059,185659.1799321164
9__Main Tower,175.29411764705904,345.4506821642527,81019.2099305943,182605.01758257058
